,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Projected Average New Partner Value,,,,Projected Average Number of New Partners,,,,,,,
,,"$144,150.00",,,,3.5,,,,,,,
,,,,,,,,,,,,,
,,Actual New Partner Value,,,,Actual Average New Monthly Partners,,,,,,,
,,,,,,2,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Model Projected Closed Revenue,,,,,,,,,,,
,Month,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
,Closed Rev,"$432,450","$432,450","$432,450","$576,600","$576,600","$576,600","$576,600","$576,600","$576,600","$576,600","$576,600","$576,600"
,Rolling Rev,"$432,450","$864,900","$1,297,350","$1,873,950","$2,450,550","$3,027,150","$3,603,750","$4,180,350","$4,756,950","$5,333,550","$5,910,150","$6,486,750"
,,,,,,,,,,,,,
,,Actual Closed Revenue,,,,,,,,,,,
,Month,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
,Monthly Rev,"$1,084,751.57","$545,932.51",,,,,,,,,,
,Rolling Rev,"$1,084,751.57","$1,630,684.08","$1,630,684.08","$1,630,684.08","$1,630,684.08","$1,630,684.08","$1,630,684.08","$1,630,684.08","$1,630,684.08","$1,630,684.08","$1,630,684.08","$1,630,684.08"
,,,,,,,,,,,,,
,,Projected vs Actual,,,,,,,,,,,
,Month,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
,Goal Variation,"$652,301.57","$765,784.08","$333,334.08","-$243,265.92","-$819,865.92","-$1,396,465.92","-$1,973,065.92","-$2,549,665.92","-$3,126,265.92","-$3,702,865.92","-$4,279,465.92","-$4,856,065.92"
,,,,,,,,,,,,,
,,Model Projected New Partners,,,,,,,,,,,
,Month,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
,Monthly Closes,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,Rolling Closes,3.0,6.0,9.0,13.0,17.0,21.0,25.0,29.0,33.0,37.0,41.0,45.0
,,,,,,,,,,,,,
,,Actual Closed Partners,,,,,,,,,,,
,Month,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov
,Monthly Closes,6.0,4.0,,,,,,,,,,
,Rolling Closes,6.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
,,,,,,,,,,,,,
,,Projected vs Actual,,,,,,,,,,,
,Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,Goal Variation,3.0,4.0,1.0,-3.0,-7.0,-11.0,-15.0,-19.0,-23.0,-27.0,-31.0,-35.0
,,,,,,,,,,,,,
,,2025 Monthly Close Number % Accuracy,,,,2025 Monthly Close Revenue % Accuracy,,,,,,,
,,#DIV/0!,,,,230.77%,,,,,,,
